# DISTANCE:     AVE_GOFR:        ERROR:
     2.37259    0.986792  0.00400577
     2.39824    0.966392  0.00324782
     2.42389    0.939247  0.00316265
     2.44954    0.928198  0.00267044
     2.47519    0.915979  0.00332919
     2.50084    0.908443  0.00386344
     2.52649    0.900079  0.00344857
     2.55214    0.894361  0.00379541
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 4.32273e-05 2.09056e-05
    0.910562  0.00118809 0.000163433
    0.936212   0.0249769  0.00110875
    0.961861     0.17106  0.00233374
    0.987511    0.585171  0.00177125
     1.01316     1.23189  0.00577169
     1.03881     1.88553  0.00685698
     1.06446     2.37929  0.00715731
     1.09011     2.56462   0.0123222
     1.11576     2.52627  0.00768944
     1.14141     2.38315  0.00502026
     1.16706     2.17514  0.00502064
     1.19271     1.95456  0.00897929
     1.21836     1.73972  0.00563477
     1.24401     1.54996  0.00654624
     1.26966     1.38145  0.00794584
     1.29531     1.23453  0.00744989
     1.32096     1.11143  0.00923311
     1.34661     1.01819  0.00669282
     1.37226    0.940678  0.00677657
     1.39791    0.875122  0.00483541
     1.42355    0.822626  0.00418899
      1.4492    0.779329  0.00321629
     1.47485    0.742144  0.00538486
      1.5005    0.711175  0.00553684
     1.52615    0.693506  0.00457234
      1.5518    0.668744    0.005357
     1.57745    0.672912   0.0089504
      1.6031    0.672894  0.00541139
     1.62875    0.675573   0.0043524
      1.6544    0.684543  0.00512126
     1.68005     0.71144  0.00500301
      1.7057    0.730469  0.00382069
     1.73135    0.749824  0.00427236
       1.757     0.78589  0.00402716
     1.78265    0.823172  0.00338947
      1.8083    0.861903  0.00336445
     1.83395    0.899817  0.00518276
      1.8596     0.93815  0.00453588
     1.88525    0.976675  0.00369035
      1.9109     1.01797   0.0050691
     1.93655     1.05762  0.00399411
      1.9622     1.09592  0.00561639
     1.98785     1.13081   0.0065068
      2.0135     1.16024  0.00498699
     2.03915     1.19177  0.00451418
      2.0648     1.19855  0.00502953
     2.09045     1.20964  0.00336351
      2.1161     1.21578  0.00541372
     2.14174     1.20341  0.00289078
     2.16739     1.19013  0.00293002
     2.19304      1.1668  0.00224967
     2.21869     1.14205  0.00463968
     2.24434     1.12277  0.00374858
     2.26999     1.10086  0.00279803
     2.29564     1.06404  0.00361877
     2.32129     1.03522  0.00287857
     2.34694     1.01561  0.00266016
     2.37259    0.984711  0.00406551
     2.39824    0.963885  0.00373156
     2.42389    0.938086  0.00301699
     2.44954    0.926227  0.00301462
     2.47519    0.914523   0.0032621
     2.50084    0.908005  0.00345895
     2.52649    0.898341  0.00347567
     2.55214     0.89137  0.00439746
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
