# BIN:     VELOCITY:     AVE_POFV:        ERROR:
# Block 1
     2.69895    0.302106    0.255947   0.0118342
     2.85318    0.154265    0.203734   0.0137513
      3.0074    0.141387    0.162501   0.0141062
     3.16163    0.102543    0.114016   0.0097251
     3.31585   0.0400747   0.0735379  0.00844565
     3.47008   0.0301686   0.0472097  0.00553457
     3.62431    0.100082   0.0421479  0.00606765
     3.77853   0.0529527   0.0358609  0.00516665
     3.93276   0.0253356   0.0192588  0.00357788
     4.08698  0.00294181   0.0160299  0.00298075
     4.24121 0.000180111  0.00666599  0.00180567
     4.39544   0.0102063   0.0114277  0.00439076
     4.54966  0.00336207   0.0053433  0.00192715


# Block 17
   0.0771129  0.00477294  0.00240148 0.000533779
    0.231339   0.0273769   0.0181277  0.00234543
    0.385565   0.0614479   0.0793725  0.00865286
     0.53979   0.0860331    0.112043  0.00842074
    0.694016    0.250925    0.203354   0.0127184
    0.848242    0.249424    0.268456   0.0118966
     1.00247    0.271337    0.347759   0.0129562
     1.15669    0.376552    0.441698   0.0174762
     1.31092    0.462015    0.446827   0.0126221
     1.46515    0.472852    0.477711   0.0252381
     1.61937    0.466428    0.527554   0.0232933
      1.7736    0.379284    0.531716   0.0181862
     1.92782    0.508904    0.485996   0.0145223
     2.08205     0.60046    0.440345   0.0187526
     2.23627    0.678118    0.442157   0.0205044
      2.3905    0.488821    0.373769   0.0182224
     2.54473    0.330264     0.30176   0.0148062
     2.69895    0.286707    0.257757   0.0112755
     2.85318     0.16225    0.201294   0.0131571
      3.0074   0.0711439    0.157127   0.0142634
     3.16163   0.0704535    0.111453  0.00948463
     3.31585   0.0500709   0.0721574  0.00806087
     3.47008   0.0206527   0.0456476  0.00542499
     3.62431   0.0347314   0.0417116  0.00572639
     3.77853   0.0131481   0.0345248  0.00503251
     3.93276   0.0389941   0.0204197  0.00355076
     4.08698   0.0186115   0.0161817  0.00280928
     4.24121  0.00222137  0.00640454  0.00171828
     4.39544           0   0.0107555  0.00418362
     4.54966           0  0.00502898  0.00183924


# Block 18
   0.0771129  0.00252156  0.00240815 0.000504166
    0.231339   0.0209529   0.0182846  0.00222037
    0.385565   0.0887347   0.0798926  0.00818776
     0.53979    0.111549    0.112016  0.00795297
    0.694016    0.174378    0.201744   0.0121133
    0.848242    0.292801    0.269808   0.0113123
     1.00247    0.433918    0.352546   0.0130908
     1.15669    0.432987    0.441214    0.016512
     1.31092    0.399456    0.444196   0.0121922
     1.46515    0.397775     0.47327   0.0242236
     1.61937    0.381655    0.519449    0.023367
      1.7736    0.513016    0.530677   0.0172055
     1.92782    0.395794    0.480985   0.0145545
     2.08205    0.524123    0.444999   0.0182793
     2.23627    0.386819    0.439082   0.0195944
      2.3905    0.547598    0.383426   0.0196027
     2.54473    0.441632    0.309531   0.0158925
     2.69895    0.404379    0.265902   0.0132691
     2.85318    0.187796    0.200544   0.0124475
      3.0074    0.104374    0.154197   0.0137688
     3.16163    0.115211    0.111662     0.00896
     3.31585   0.0330204   0.0699832  0.00790084
     3.47008   0.0463786   0.0456882  0.00512376
     3.62431   0.0175908   0.0403716  0.00556284
     3.77853    0.017771   0.0335941  0.00483824
     3.93276   0.0117673    0.019939  0.00338588
     4.08698           0   0.0152828  0.00279335
     4.24121           0  0.00604873  0.00165925
     4.39544           0   0.0101579  0.00399364
     4.54966           0   0.0047496  0.00175816


# Block 19
   0.0771129   0.0117973  0.00290232 0.000677847
    0.231339   0.0513917   0.0200271  0.00270207
    0.385565   0.0899955   0.0804243  0.00777407
     0.53979    0.112269    0.112029   0.0075344
    0.694016    0.265274    0.205088   0.0119283
    0.848242    0.201905    0.266234   0.0112673
     1.00247    0.369258    0.353425   0.0124313
     1.15669    0.441662    0.441237   0.0156429
     1.31092    0.380004    0.440817   0.0120095
     1.46515    0.436859    0.471354   0.0230243
     1.61937    0.555853    0.521365   0.0222156
      1.7736     0.42092    0.524901   0.0172425
     1.92782    0.448357    0.479268   0.0138894
     2.08205    0.461685    0.445878   0.0173383
     2.23627    0.464777    0.440435   0.0186097
      2.3905    0.446015    0.386721   0.0188457
     2.54473    0.418188     0.31525    0.016052
     2.69895    0.174408    0.261087   0.0134161
     2.85318    0.246692    0.202973    0.012027
      3.0074    0.182573     0.15569   0.0131248
     3.16163   0.0983407    0.110961  0.00851581
     3.31585   0.0479996   0.0688261  0.00756925
     3.47008    0.131151   0.0501862  0.00653679
     3.62431    0.017771   0.0391821  0.00539574
     3.77853  0.00852526   0.0322746   0.0047601
     3.93276 0.000330204   0.0189069  0.00336128
     4.08698           0   0.0144784  0.00275971
     4.24121           0  0.00573038  0.00160217
     4.39544           0   0.0096233  0.00381907
     4.54966           0  0.00449962   0.0016833


# Block 20
   0.0771129           0   0.0027572 0.000659306
    0.231339  0.00381235   0.0192164  0.00268584
    0.385565   0.0574855   0.0792774   0.0074695
     0.53979    0.166062    0.114731  0.00762669
    0.694016    0.237897    0.206729   0.0114441
    0.848242    0.248583    0.265352   0.0107384
     1.00247    0.330444    0.352276   0.0118627
     1.15669    0.371749    0.437763   0.0152418
     1.31092    0.475763    0.442564   0.0115354
     1.46515    0.581669     0.47687   0.0225241
     1.61937    0.640235    0.527308   0.0218854
      1.7736    0.408612    0.519086    0.017333
     1.92782    0.407291    0.475669   0.0136532
     2.08205    0.458983    0.446533   0.0164838
     2.23627    0.498157    0.443321   0.0179017
      2.3905    0.290129    0.381891   0.0185119
     2.54473    0.451809    0.322078   0.0166383
     2.69895    0.220426    0.259054   0.0128984
     2.85318    0.122536    0.198951   0.0120794
      3.0074    0.140006    0.154906    0.012492
     3.16163    0.125627    0.111694  0.00812153
     3.31585   0.0573354   0.0682516  0.00721256
     3.47008   0.0411554   0.0497347  0.00622553
     3.62431   0.0484199    0.039644  0.00514568
     3.77853   0.0319997   0.0322609  0.00452211
     3.93276   0.0348815   0.0197057  0.00328675
     4.08698  0.00234144   0.0138716  0.00268762
     4.24121 0.000780481  0.00548288  0.00154106
     4.39544 0.000870537  0.00918567   0.0036531
     4.54966  0.00861531   0.0047054  0.00161166


# Block 21
   0.0771129  0.00336207    0.002786 0.000628539
    0.231339  0.00795491   0.0186801  0.00261093
    0.385565   0.0620783   0.0784584  0.00715857
     0.53979    0.169364    0.117332  0.00769446
    0.694016    0.318376    0.212045   0.0120711
    0.848242    0.239758    0.264133    0.010296
     1.00247    0.168644    0.343532   0.0141585
     1.15669    0.276951    0.430105   0.0163267
     1.31092    0.537271    0.447074   0.0118349
     1.46515    0.439741    0.475102   0.0215208
     1.61937     0.56684    0.529191    0.020924
