# DISTANCE:     AVE_GOFR:        ERROR:
      1.9622     1.09669  0.00135258
     1.98785     1.13132  0.00215822
      2.0135     1.16151  0.00124953
     2.03915     1.18439  0.00123238
      2.0648     1.20141  0.00149114
     2.09045     1.20997  0.00263197
      2.1161      1.2109   0.0028214
     2.14174     1.20896   0.0029799
     2.16739     1.19431  0.00218225
     2.19304     1.17471  0.00171241
     2.21869     1.15117  0.00176391
     2.24434     1.12631  0.00253312
     2.26999     1.09899  0.00147007
     2.29564      1.0682  0.00245597
     2.32129     1.04018  0.00149711
     2.34694     1.01585  0.00161184
     2.37259    0.992015  0.00182426
     2.39824    0.969823  0.00122488
     2.42389    0.949402  0.00145962
     2.44954    0.933207  0.00217443
     2.47519    0.919103   0.0019638
     2.50084    0.909153  0.00137727
     2.52649    0.893568  0.00165446
     2.55214     0.88667  0.00165534
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 1.29682e-05 8.77951e-06
    0.910562  0.00131444 0.000117652
    0.936212    0.024566 0.000519533
    0.961861    0.164843  0.00189381
    0.987511    0.561134  0.00386046
     1.01316     1.20239  0.00552972
     1.03881      1.8561  0.00408617
     1.06446     2.33405  0.00524305
     1.09011     2.54608  0.00295467
     1.11576     2.54506  0.00226572
     1.14141     2.40574  0.00276775
     1.16706     2.19703  0.00553494
     1.19271     1.97806  0.00292115
     1.21836     1.75959  0.00517582
     1.24401       1.567  0.00358261
     1.26966      1.3936  0.00371688
     1.29531     1.24926  0.00245074
     1.32096     1.12945  0.00248181
     1.34661     1.02265  0.00198801
     1.37226    0.942579  0.00127227
     1.39791    0.876288  0.00127777
     1.42355    0.818937  0.00162225
      1.4492    0.773746  0.00138574
     1.47485    0.736241 0.000726812
      1.5005    0.710892  0.00169009
     1.52615    0.688904  0.00170623
      1.5518    0.677668  0.00181829
     1.57745    0.671393  0.00113913
      1.6031    0.668159 0.000870788
     1.62875    0.673464  0.00174965
      1.6544    0.682523 0.000772367
     1.68005    0.700844 0.000933738
      1.7057      0.7226  0.00198804
     1.73135    0.750837  0.00155897
       1.757    0.780101  0.00235688
     1.78265    0.816106  0.00229601
      1.8083    0.854502  0.00110822
     1.83395    0.890825  0.00213353
      1.8596    0.937467  0.00205284
     1.88525    0.976444  0.00138646
      1.9109     1.01897  0.00228193
     1.93655     1.05865  0.00173732
      1.9622     1.09553  0.00154772
     1.98785     1.13038  0.00199306
      2.0135     1.16091  0.00117954
     2.03915     1.18399  0.00108745
      2.0648     1.20187  0.00131307
     2.09045     1.20956   0.0022259
      2.1161     1.21146  0.00240626
     2.14174     1.20938   0.0025122
     2.16739     1.19467  0.00184882
     2.19304     1.17487  0.00143479
     2.21869     1.15065  0.00154609
     2.24434     1.12559  0.00220921
     2.26999     1.09881  0.00123586
     2.29564     1.06792  0.00206177
     2.32129      1.0399  0.00127251
     2.34694     1.01611  0.00136499
     2.37259    0.991632  0.00155985
     2.39824    0.969335  0.00111363
     2.42389    0.949041  0.00126018
     2.44954     0.93271   0.0018678
     2.47519    0.919181  0.00163804
     2.50084    0.909284  0.00115395
     2.52649    0.894676   0.0017095
     2.55214    0.887161  0.00145044
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 1.38945e-05   7.574e-06
    0.910562  0.00124719 0.000118516
    0.936212   0.0242365 0.000539802
    0.961861     0.16467  0.00163114
    0.987511    0.561622  0.00333961
     1.01316     1.20226  0.00474116
     1.03881     1.85792  0.00388638
     1.06446     2.33367  0.00450763
     1.09011     2.54692   0.0026487
     1.11576     2.54495  0.00194515
     1.14141     2.40314  0.00338221
     1.16706     2.19754  0.00476703
     1.19271     1.97575   0.0032916
     1.21836      1.7598  0.00444053
     1.24401     1.56392  0.00418518
     1.26966     1.39417  0.00322912
     1.29531     1.24921  0.00210109
     1.32096     1.12923  0.00213685
     1.34661     1.02355  0.00189784
     1.37226     0.94312  0.00120014
     1.39791    0.875187  0.00149656
     1.42355    0.819639  0.00153466
      1.4492    0.774594  0.00142404
     1.47485     0.73614 0.000629954
      1.5005    0.712123  0.00184331
     1.52615    0.689952    0.001755
      1.5518    0.677674  0.00155854
     1.57745    0.671762  0.00103459
      1.6031    0.668577 0.000840427
     1.62875     0.67385  0.00154158
      1.6544    0.683231 0.000931363
     1.68005    0.700699 0.000811479
      1.7057    0.722336  0.00172152
     1.73135    0.750211  0.00145646
       1.757    0.779912   0.0020277
     1.78265    0.815478  0.00205218
      1.8083    0.854442 0.000951569
     1.83395    0.891127  0.00185006
      1.8596     0.93645  0.00199574
     1.88525    0.977282  0.00141948
      1.9109     1.01978  0.00209556
     1.93655     1.05855  0.00149209
      1.9622     1.09623  0.00147618
     1.98785     1.13115  0.00184905
      2.0135     1.16102  0.00101592
     2.03915     1.18339  0.00108588
      2.0648     1.20145  0.00119047
     2.09045     1.20937  0.00191537
      2.1161     1.21173  0.00207792
     2.14174     1.20961  0.00216417
     2.16739     1.19468   0.0015847
     2.19304     1.17397  0.00148556
     2.21869     1.15051  0.00133134
     2.24434     1.12457  0.00211569
     2.26999     1.09799  0.00130505
     2.29564     1.06773  0.00177652
     2.32129     1.03932  0.00121543
     2.34694     1.01495   0.0015914
     2.37259    0.990925  0.00148878
     2.39824    0.969132 0.000972923
     2.42389    0.949642  0.00121485
     2.44954    0.932692  0.00160106
     2.47519    0.919788  0.00151254
     2.50084    0.909377 0.000992843
     2.52649     0.89516  0.00153239
     2.55214    0.887236  0.00124515
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 1.70208e-05 7.24377e-06
    0.910562  0.00127929 0.000107961
    0.936212   0.0245371 0.000549721
    0.961861    0.165225  0.00151857
    0.987511    0.563798  0.00356127
     1.01316     1.20514  0.00494374
     1.03881     1.86063  0.00423919
     1.06446       2.337  0.00502599
     1.09011     2.54921  0.00315623
     1.11576      2.5456  0.00180969
     1.14141     2.40244  0.00302919
     1.16706     2.19698  0.00420326
     1.19271     1.97366  0.00347932
     1.21836     1.75688  0.00475124
     1.24401     1.56108  0.00452844
     1.26966     1.39038  0.00453375
     1.29531     1.24681  0.00290338
     1.32096     1.12755  0.00244179
     1.34661     1.02242  0.00196946
     1.37226    0.942665   0.0011329
     1.39791    0.873857    0.001806
     1.42355    0.819257  0.00138948
      1.4492    0.774513  0.00124835
     1.47485     0.73645 0.000622756
      1.5005    0.711959  0.00162022
     1.52615    0.691527  0.00212829
      1.5518    0.678622  0.00162692
     1.57745    0.672756  0.00129745
      1.6031    0.669819  0.00137515
     1.62875    0.674279  0.00140746
      1.6544    0.684168  0.00119664
     1.68005    0.700896 0.000733451
      1.7057    0.722968  0.00161812
     1.73135    0.750814  0.00139371
       1.757    0.780194  0.00179368
     1.78265     0.81597   0.0018538
      1.8083    0.854464 0.000832895
     1.83395    0.891438   0.0016448
      1.8596    0.936524  0.00174762
     1.88525    0.977192  0.00124494
      1.9109      1.0195  0.00185167
     1.93655     1.05856  0.00130562
      1.9622     1.09594   0.0013199
     1.98785     1.13134  0.00162866
      2.0135     1.16151  0.00100268
     2.03915     1.18398  0.00109563
      2.0648     1.20201  0.00116418
     2.09045     1.20969  0.00170187
      2.1161     1.21269   0.0020276
     2.14174     1.20939  0.00190467
     2.16739     1.19413  0.00147678
     2.19304     1.17383   0.0013067
     2.21869     1.14977  0.00135624
     2.24434     1.12306  0.00233078
     2.26999     1.09749  0.00123382
     2.29564     1.06726  0.00161532
     2.32129     1.03886  0.00114796
     2.34694     1.01392  0.00168914
     2.37259    0.990194  0.00147095
     2.39824    0.968855 0.000889836
     2.42389    0.949528  0.00106827
     2.44954     0.93274  0.00140164
     2.47519    0.920039   0.0013441
     2.50084    0.909357 0.000868926
     2.52649    0.894749  0.00139477
     2.55214    0.887403  0.00110073
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 1.51296e-05 6.68123e-06
    0.910562  0.00125738 9.81627e-05
    0.936212   0.0243552 0.000517857
    0.961861    0.164778   0.0014139
    0.987511    0.561666  0.00374959
     1.01316     1.20331  0.00472015
     1.03881     1.86103  0.00378765
     1.06446     2.33792  0.00455107
     1.09011      2.5508  0.00318214
     1.11576      2.5454  0.00161968
     1.14141     2.40327  0.00280411
     1.16706     2.19703  0.00373646
     1.19271     1.97281  0.00319537
     1.21836     1.75598  0.00430637
     1.24401     1.56022  0.00410579
     1.26966      1.3888  0.00429843
     1.29531     1.24671  0.00258255
     1.32096     1.12733  0.00218085
     1.34661     1.02398   0.0022824
     1.37226    0.942946   0.0010413
     1.39791    0.874577  0.00174301
     1.42355    0.819762  0.00132372
      1.4492    0.775365  0.00136981
     1.47485    0.736793 0.000641002
      1.5005    0.712123  0.00144848
     1.52615    0.691552  0.00189196
      1.5518     0.67862  0.00144615
     1.57745    0.673007  0.00117737
      1.6031    0.670155  0.00126283
     1.62875    0.674029  0.00127313
      1.6544    0.684138  0.00106406
     1.68005    0.700481 0.000760106
      1.7057    0.722578  0.00148447
     1.73135    0.750101  0.00140971
       1.757    0.779959  0.00160965
     1.78265     0.81585   0.0016517
      1.8083    0.854518 0.000742091
     1.83395     0.89156  0.00146653
      1.8596    0.936681  0.00156047
     1.88525    0.978027  0.00135827
      1.9109     1.01905  0.00170095
     1.93655     1.05858  0.00116075
      1.9622     1.09597  0.00117361
     1.98785     1.13115  0.00145952
      2.0135     1.16194 0.000976994
     2.03915     1.18428  0.00101521
      2.0648     1.20208  0.00103677
     2.09045     1.20951  0.00152218
      2.1161     1.21321   0.0018682
     2.14174     1.20874  0.00180233
     2.16739     1.19448  0.00135391
     2.19304     1.17356  0.00118771
     2.21869     1.14938  0.00126046
     2.24434      1.1227   0.0020999
     2.26999     1.09703  0.00117809
     2.29564     1.06739  0.00144109
     2.32129      1.0394  0.00113937
     2.34694     1.01388  0.00150213
     2.37259    0.990087  0.00131144
     2.39824     0.96858 0.000832511
     2.42389    0.949301 0.000973488
     2.44954    0.932661   0.0012481
     2.47519    0.919787  0.00121806
     2.50084    0.909457 0.000778122
     2.52649     0.89478  0.00124013
     2.55214    0.887398  0.00097844
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 1.36166e-05 6.18203e-06
    0.910562  0.00126003 8.83821e-05
    0.936212   0.0242963 0.000469409
    0.961861    0.164798  0.00127265
    0.987511    0.562539  0.00347485
     1.01316     1.20345  0.00425027
     1.03881     1.86154  0.00344308
     1.06446      2.3389   0.0041996
     1.09011     2.55019  0.00292146
     1.11576     2.54705  0.00213574
     1.14141     2.40316   0.0025259
     1.16706     2.19776  0.00343484
     1.19271     1.97389  0.00305336
     1.21836     1.75672   0.0039391
     1.24401     1.55946  0.00376473
     1.26966     1.38896  0.00387169
     1.29531     1.24599   0.0024228
     1.32096      1.1268  0.00202603
     1.34661     1.02352  0.00209976
     1.37226    0.942637 0.000982173
     1.39791    0.874477   0.0015716
     1.42355    0.819326  0.00126112
      1.4492    0.775006  0.00127882
     1.47485    0.736702 0.000583319
      1.5005    0.711563  0.00140752
     1.52615    0.691003  0.00178077
      1.5518    0.677884  0.00147685
     1.57745    0.672659  0.00110979
      1.6031    0.669863   0.0011698
     1.62875    0.674213  0.00115908
      1.6544    0.684153 0.000957767
     1.68005    0.700521 0.000685144
      1.7057    0.723052  0.00140969
